Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2019","2019","tonnes","38205","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2019","2019","tonnes","19025","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2019","2019","tonnes","250324","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2019","2019","tonnes","129363","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2019","2019","tonnes","123576","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2019","2019","tonnes","35804","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2019","2019","tonnes","24319","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2019","2019","tonnes","38685","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2019","2019","tonnes","40507","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2019","2019","tonnes","54617","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2019","2019","tonnes","1112927","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2019","2019","tonnes","55000","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2019","2019","tonnes","184671","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2019","2019","tonnes","464230","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2019","2019","tonnes","2714","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2019","2019","tonnes","1476","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2019","2019","tonnes","8438","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2019","2019","tonnes","352725","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2019","2019","tonnes","4830","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2019","2019","tonnes","61361","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2019","2019","tonnes","6966","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2019","2019","tonnes","2755","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2019","2019","tonnes","7562","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2019","2019","tonnes","921122","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses nes","2019","2019","tonnes","45862","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2019","2019","tonnes","382500","","Official data"
